Fotograma,tipo_objeto,confianza,ID,x1,y1,x2,y2,Matricula,Confianza,mx1,my1,mx2,my2,texto_matricula
2169,car,0.67,3,1154,315,1199,350,Si,0,0,0,0,0,???
2170,car,0.21,1,1475,318,1685,449,Si,0.21,0,0,0,0,D4A
2170,car,0.73,2,1430,322,1512,381,Si,0,0,0,0,0,???
2170,car,0.67,3,1154,314,1199,349,Si,0,0,0,0,0,???
2171,car,0.2,1,1475,315,1679,449,Si,0.2,0,0,0,0,AE
2171,car,0.68,2,1431,322,1511,381,Si,0,0,0,0,0,???
2171,car,0.66,3,1153,313,1199,349,Si,0,0,0,0,0,???
2172,car,0.18,1,1468,317,1669,445,Si,0.18,0,0,0,0,WA
2172,car,0.64,2,1154,313,1199,348,Si,0,0,0,0,0,???
2173,car,0.21,1,1468,317,1660,443,Si,0.21,0,0,0,0,J
2173,car,0.62,2,1429,325,1506,383,Si,0,0,0,0,0,???
2174,car,0.81,1,1471,319,1652,443,Si,0,0,0,0,0,???
2174,car,0.64,2,1429,325,1478,382,Si,0,0,0,0,0,???
2175,car,0.26,1,1461,315,1646,439,Si,0.26,0,0,0,0,W
2176,car,0.9,1,1457,317,1640,437,Si,0,0,0,0,0,???
2177,car,0.91,1,1452,318,1632,435,Si,0,0,0,0,0,???
2177,car,0.63,2,1155,313,1201,349,Si,0,0,0,0,0,???
2178,car,0.16,1,1447,319,1627,432,Si,0.16,0,0,0,0,ME
2178,car,0.65,2,1154,313,1202,349,Si,0,0,0,0,0,???
2179,car,0.9,1,1445,317,1618,430,Si,0,0,0,0,0,???
2179,car,0.63,2,1153,313,1202,349,Si,0,0,0,0,0,???
2179,car,0.62,3,1343,322,1383,353,Si,0,0,0,0,0,???
2180,car,0.82,1,1456,321,1611,430,Si,0,0,0,0,0,???
2180,car,0.68,2,1153,313,1201,349,Si,0,0,0,0,0,???
2180,car,0.63,3,1343,322,1383,352,Si,0,0,0,0,0,???
2181,car,0.88,1,1435,318,1605,427,Si,0,0,0,0,0,???
2181,car,0.64,2,1154,313,1202,348,Si,0,0,0,0,0,???
2181,car,0.63,3,1343,322,1383,353,Si,0,0,0,0,0,???
2182,car,0.91,1,1431,319,1598,426,Si,0,0,0,0,0,???
2182,car,0.64,2,1151,312,1203,348,Si,0,0,0,0,0,???
2182,car,0.63,3,1343,321,1383,352,Si,0,0,0,0,0,???
2183,car,0.89,1,1429,320,1595,425,Si,0,0,0,0,0,???
2183,car,0.68,2,1152,311,1201,348,Si,0,0,0,0,0,???
2183,car,0.63,3,1343,322,1383,352,Si,0,0,0,0,0,???
2184,car,0.89,1,1427,319,1589,424,Si,0,0,0,0,0,???
2184,car,0.71,2,1150,310,1202,349,Si,0,0,0,0,0,???
2184,car,0.63,3,1343,321,1383,352,Si,0,0,0,0,0,???
2185,car,0.84,1,1430,320,1580,423,Si,0,0,0,0,0,???
2185,car,0.73,2,1152,311,1204,350,Si,0,0,0,0,0,???
2186,car,0.86,1,1424,318,1575,421,Si,0,0,0,0,0,???
2186,car,0.69,2,1152,312,1203,349,Si,0,0,0,0,0,???
2187,car,0.9,1,1422,317,1571,420,Si,0,0,0,0,0,???
2187,car,0.67,2,1152,311,1203,350,Si,0,0,0,0,0,???
2188,car,0.88,1,1422,318,1567,419,Si,0,0,0,0,0,???
2188,car,0.63,2,1152,313,1201,351,Si,0,0,0,0,0,???
2189,car,0.91,1,1420,317,1563,418,Si,0,0,0,0,0,???
2189,car,0.64,2,1153,315,1202,350,Si,0,0,0,0,0,???
2190,car,0.9,1,1415,317,1562,416,Si,0,0,0,0,0,???
2190,car,0.63,2,1153,313,1202,350,Si,0,0,0,0,0,???
2191,car,0.88,1,1411,317,1557,415,Si,0,0,0,0,0,???
2191,car,0.65,2,1153,315,1203,351,Si,0,0,0,0,0,???
2192,car,0.9,1,1410,317,1553,413,Si,0,0,0,0,0,???
2192,car,0.64,2,1153,316,1202,350,Si,0,0,0,0,0,???
2193,car,0.89,1,1405,317,1548,410,Si,0,0,0,0,0,???
2193,car,0.64,2,1153,314,1202,351,Si,0,0,0,0,0,???
2194,car,0.9,1,1400,317,1543,410,Si,0,0,0,0,0,???
2194,car,0.63,2,1153,317,1202,350,Si,0,0,0,0,0,???
2195,car,0.9,1,1397,317,1538,410,Si,0,0,0,0,0,???
2195,car,0.62,2,1154,316,1201,350,Si,0,0,0,0,0,???
2196,car,0.87,1,1401,317,1538,409,Si,0,0,0,0,0,???
2196,car,0.64,2,1153,316,1201,350,Si,0,0,0,0,0,???
2197,car,0.87,1,1396,317,1534,409,Si,0,0,0,0,0,???
2197,car,0.64,2,1153,316,1202,350,Si,0,0,0,0,0,???
2198,car,0.87,1,1395,318,1525,408,Si,0,0,0,0,0,???
2198,car,0.64,2,1153,315,1201,349,Si,0,0,0,0,0,???
2199,car,0.89,1,1393,317,1523,408,Si,0,0,0,0,0,???
2199,car,0.64,2,1153,314,1201,350,Si,0,0,0,0,0,???
2200,car,0.85,1,1392,317,1518,407,Si,0,0,0,0,0,???
2200,car,0.62,2,1153,315,1203,350,Si,0,0,0,0,0,???
2201,car,0.84,1,1391,316,1511,405,Si,0,0,0,0,0,???
2201,car,0.61,2,1355,324,1399,357,Si,0,0,0,0,0,???
2202,car,0.8,1,1387,317,1510,405,Si,0,0,0,0,0,???
2202,car,0.61,2,1343,322,1381,352,Si,0,0,0,0,0,???
2203,car,0.85,1,1385,317,1509,403,Si,0,0,0,0,0,???
